성과사업명,가중논문수,가중특허수,Y_총가중성과
의료기기기술개발(R&D),288.4728571428571,339.76499366666667,628.2378508095237
공정·품질기술개발(R&D),1.333333333333333,626.4166666666666,627.75
환경정책기반공공기술개발사업,247.333,379.53333333333336,626.8663333333334
한국건설기술연구원연구운영비지원(주요사업비),138.33333333333334,486.0,624.3333333333334
에너지국제공동연구(에특),169.325,451.7,621.025
산학협력고도화지원(R&D),0.0,620.9166666666666,620.9166666666666
한국천문연구원연구운영비지원(R&D)(주요사업비),582.6088023088023,22.9,605.5088023088023
지식서비스산업핵심기술개발(R&D),21.55,583.45,605.0
한국식품연구원연구운영비지원(주요사업비),287.44404761904764,316.5,603.9440476190476
농축산물부가가치향상,220.85,383.06666666666666,603.9166666666666
산업전문인력역량강화(R&D),216.43333333333334,385.73333333333335,602.1666666666667
혁신성장동력프로젝트(R&D)(과기정통부),107.78333333333332,493.09896,600.8822933333333
생물자원발굴및분류연구,513.4,86.4,599.8
산림과학연구,323.75,274.35,598.1
한국과학기술원연구운영비지원(0.5),266.27067099567097,329.2447619047619,595.5154329004329
산림과학연구(R&D),306.8666666666667,288.28333166666664,595.1499983333333
국가간협력기반조성,418.1048701298701,176.5051948051948,594.6100649350649
도시건축연구사업(R&D),143.16666666666666,450.6666666666667,593.8333333333334
우주핵심기술개발(R&D),284.39666666666665,308.39999866666665,592.7966653333333
원예특작시험연구,174.6,416.25,590.85
한국건설기술연구원연구운영비지원,121.11666666666666,469.5,590.6166666666667
전자시스템산업핵심기술개발,63.49523809523809,519.3666666666667,582.8619047619047
한국철도기술연구원연구운영비지원(주요사업비),89.08333333333333,493.3333333333333,582.4166666666666
도시건축연구사업,106.0,471.53333333333336,577.5333333333333
방송통신인프라원천기술개발,72.0,505.41333333333336,577.4133333333334
산학연협력고도화지원,0.0,575.8666666666667,575.8666666666667
한국천문연구원연구운영비지원(주요사업비),533.3151154401154,40.4,573.7151154401154
국가핵융합연구소연구운영비지원,296.4,276.5,572.9
홀로그램핵심기술개발(R&D),50.049523809523805,519.7666663333333,569.8161901428571
"전자정보디바이스산업원천기술개발(R&D,정보화)",108.95833333333333,460.115992,569.0743253333334
나노융합산업핵심기술개발,93.6218253968254,474.37333333333333,567.9951587301588
환경산업선진화기술개발사업(R&D),85.36666666666666,480.666666,566.0333326666666
울산과학기술원연구운영비지원(R&D)(주요사업비),381.65317460317453,181.31666566666667,562.9698402698411
물관리연구,152.6,409.1666666666667,561.7666666666667
ICT융합산업원천기술개발사업(R&D),79.43333333333334,480.6,560.0333333333333
"중소기업기술혁신개발(일반,R&D)",0.0,560.016664,560.016664
국가간협력기반조성(R&D),415.8247619047619,142.92394990476188,558.7487118095238
친환경안전농축산물생산기술,303.3095238095238,255.28666666666666,558.5961904761905
수산실용화기술개발(R&D),176.83333333333334,381.25,558.0833333333334
"스마트팜다부처패키지혁신기술개발(농진청,농림부,과기부)",129.19166666666666,428.4,557.5916666666667
지식서비스산업핵심기술개발,48.166666666666664,508.95,557.1166666666667
수산실용화기술개발,151.95,404.9166666666667,556.8666666666667
SW컴퓨팅산업원천기술개발(정보통신기술진흥센터),62.56666666666666,493.28333333333336,555.85
국제연구인력교류(R&D),462.94547619047614,91.81666633333333,554.7621425238094
수산시험연구(R&D),312.1666666666667,239.83333266666668,551.9999993333333
ICT융합산업혁신기술개발사업,54.28333333333333,495.8833333333333,550.1666666666666
산학협력선도대학(LINC)육성(0.5),0.0,549.5833333333334,549.5833333333334
암연구소및국가암관리사업본부운영,425.8301587301587,122.73333333333333,548.563492063492
자율주행기술개발혁신사업(R&D),24.892857142857142,523.366665,548.2595221428571
첨단융복합콘텐츠기술개발,30.7,517.3333333333334,548.0333333333334
ICT융합산업원천기술개발사업,66.13333333333333,481.71666666666664,547.8499999999999
기술사업화지원,158.4,385.26666666666665,543.6666666666666
